review_text,sentiment
"This product is amazing, I loved it!",positive
"Worst purchase ever, completely disappointed.",negative
The quality is good for the price.,positive
"Terrible, broke after one use.",negative
Excellent value and fast delivery.,positive
Not worth the money.,negative
I am satisfied with this product.,positive
"Very bad quality, do not buy this.",negative
"Great experience, will buy again.",positive
The item arrived late and was damaged.,negative
"Fantastic product, highly recommend it.",positive
"I hate this product, waste of money.",negative
Pretty decent for the cost.,positive
Extremely poor customer service.,negative
"Loved it, exactly as described.",positive
Not as good as I expected.,negative
Fast shipping and great quality.,positive
"Terrible experience, returning it.",negative
"Works perfectly, happy with my purchase.",positive
The product is okay but delivery was slow.,neutral
